Timestamp,FromLocalUdpPort53IP192.168.1.1Packet,FromLocalUdpPort53IP192.168.1.1Byte,FromLocalUdpPort67IP192.168.1.1Packet,FromLocalUdpPort67IP192.168.1.1Byte,FromLocalArpPortAllPacket,FromLocalArpPortAllByte,ToLocalUdpPort53IP192.168.1.1Packet,ToLocalUdpPort53IP192.168.1.1Byte,ToLocalArpPortAllPacket,ToLocalArpPortAllByte, NoOfFlows,Label
1538800588008,0,0,0,0,2,84,0,0,2,84,56,0
1530092585984,0,0,0,0,0,0,0,0,0,0,31,0
1528308011415,0,0,0,0,1,42,0,0,1,42,59,0
1530936759664,0,0,0,0,0,0,0,0,0,0,47,0
1527639744123,6,1307,0,0,1,42,6,449,1,42,47,0
1530359436460,0,0,0,0,0,0,0,0,0,0,31,0
1531790163230,0,0,0,0,0,0,0,0,0,0,22,0
1530434029563,0,0,0,0,1,42,0,0,1,42,47,0
1531663095576,0,0,0,0,2,84,0,0,3,126,43,0
1531326642272,0,0,0,0,0,0,0,0,0,0,59,0
1539641791411,0,0,0,0,1,42,0,0,1,60,46,0
1530047736928,0,0,0,0,1,42,0,0,1,42,50,0
1538834280674,0,0,1,347,0,0,0,0,0,0,70,0
1537874228115,0,0,0,0,0,0,0,0,0,0,28,0
1537932494621,2,1020,0,0,0,0,2,178,0,0,71,0
1539456799927,0,0,0,0,0,0,0,0,0,0,28,0
1531134158558,0,0,0,0,0,0,0,0,1,42,59,0
1538544396840,0,0,0,0,1,42,0,0,1,60,46,0
1538245777177,0,0,0,0,0,0,0,0,0,0,24,0
1539772736197,0,0,0,0,1,42,0,0,1,42,56,0
1529258403417,0,0,0,0,0,0,0,0,0,0,31,0
1527976034341,0,0,0,0,1,42,0,0,1,42,37,0
1531513907474,0,0,0,0,0,0,0,0,0,0,31,0
1530351384940,0,0,0,0,1,42,0,0,1,42,43,0
1528952823282,0,0,0,0,0,0,0,0,0,0,31,0
1529589795446,0,0,0,0,1,42,0,0,1,42,43,0
1528480511420,0,0,0,0,0,0,0,0,0,0,31,0
1537994259438,0,0,0,0,1,42,0,0,1,42,78,0
1527909650315,0,0,0,0,1,42,0,0,1,42,59,0
1531612601262,4,819,0,0,0,0,4,306,0,0,47,0
1538145235392,0,0,0,0,0,0,0,0,0,0,22,0
1530057582885,0,0,0,0,0,0,0,0,0,0,22,0
1530621624837,0,0,0,0,0,0,0,0,0,0,22,0
1538374268627,0,0,0,0,0,0,0,0,0,0,22,0
1540491531313,0,0,0,0,0,0,0,0,0,0,67,0
1531758694854,0,0,0,0,0,0,0,0,0,0,22,0
1539056993155,0,0,0,0,0,0,0,0,0,0,59,0
1531596982845,0,0,0,0,0,0,0,0,0,0,59,0
1539995476467,0,0,0,0,0,0,0,0,0,0,36,0
1530689316842,0,0,0,0,0,0,0,0,0,0,31,0
