Timestamp,FromLocalUdpPort53IP192.168.1.1Packet,FromLocalUdpPort53IP192.168.1.1Byte,FromLocalUdpPort67IP192.168.1.1Packet,FromLocalUdpPort67IP192.168.1.1Byte,FromLocalArpPortAllPacket,FromLocalArpPortAllByte,ToLocalUdpPort53IP192.168.1.1Packet,ToLocalUdpPort53IP192.168.1.1Byte,ToLocalArpPortAllPacket,ToLocalArpPortAllByte, NoOfFlows,Label
1538518397513,0,0,0,0,0,0,0,0,0,0,28,0
1538917727172,0,0,0,0,0,0,0,0,0,0,28,0
1537809584304,0,0,0,0,0,0,0,0,0,0,28,0
1540496756340,0,0,0,0,0,0,0,0,0,0,26,0
1539667084277,0,0,0,0,0,0,0,0,0,0,28,0
1538614013985,0,0,0,0,0,0,0,0,0,0,26,0
1539769492212,0,0,0,0,0,0,0,0,0,0,28,0
1539152670215,0,0,0,0,0,0,0,0,0,0,28,0
1538010665636,0,0,0,0,0,0,0,0,0,0,28,0
1539199345418,0,0,0,0,0,0,0,0,0,0,28,0
1538260978638,0,0,0,0,0,0,0,0,0,0,22,0
1539112852674,0,0,0,0,0,0,0,0,0,0,28,0
1539979745188,0,0,0,0,0,0,0,0,0,0,22,0
1538592506239,0,0,0,0,0,0,0,0,0,0,26,0
1539707333914,0,0,0,0,0,0,0,0,0,0,28,0
1538228056020,0,0,0,0,0,0,0,0,0,0,22,0
1539795988285,0,0,0,0,0,0,0,0,0,0,28,0
1538086890081,0,0,0,0,0,0,0,0,0,0,30,0
1538629694288,0,0,0,0,0,0,0,0,0,0,28,0
1540550169161,0,0,0,0,0,0,0,0,0,0,26,0
1539220138342,0,0,0,0,0,0,0,0,0,0,28,0
1539037650990,0,0,0,0,0,0,0,0,0,0,30,0
1539124323392,0,0,0,0,0,0,0,0,0,0,28,0
1539608397029,0,0,0,0,0,0,0,0,0,0,28,0
1539295929053,0,0,0,0,0,0,0,0,0,0,26,0
1539352769611,0,0,0,0,0,0,0,0,0,0,28,0
1537905585742,0,0,0,0,0,0,0,0,0,0,28,0
1537771090306,0,0,0,0,0,0,0,0,0,0,28,0
1538273175477,0,0,0,0,0,0,0,0,0,0,22,0
1538893036971,0,0,0,0,0,0,0,0,0,0,26,0
1538088752489,0,0,0,0,0,0,0,0,0,0,28,0
1540425222175,0,0,0,0,0,0,0,0,0,0,28,0
1538300754713,0,0,0,0,0,0,0,0,0,0,22,0
1539018432218,0,0,0,0,0,0,0,0,0,0,28,0
1538832719139,0,0,0,0,0,0,0,0,0,0,26,0
1539019573217,0,0,0,0,0,0,0,0,0,0,28,0
1539847230458,0,0,0,0,0,0,0,0,0,0,28,0
1539115794800,0,0,0,0,0,0,0,0,0,0,28,0
1539893595774,0,0,0,0,0,0,0,0,0,0,28,0
1540368681731,0,0,0,0,0,0,0,0,0,0,26,0
1539299532846,0,0,0,0,0,0,0,0,0,0,26,0
1540432974667,1,501,0,0,0,0,1,77,0,0,28,0
1539591881216,0,0,0,0,0,0,0,0,0,0,26,0
1540387668698,0,0,0,0,0,0,0,0,0,0,26,0
1538421092820,0,0,0,0,0,0,0,0,0,0,22,0
1538834580923,0,0,0,0,0,0,0,0,0,0,28,0
1538395818521,0,0,0,0,0,0,0,0,0,0,22,0
1537903543550,0,0,0,0,0,0,0,0,0,0,28,0
1539722167104,0,0,0,0,0,0,0,0,0,0,28,0
1538910461550,0,0,0,0,0,0,0,0,0,0,26,0
1539233648937,0,0,0,0,0,0,0,0,0,0,26,0
1538954240991,0,0,0,0,0,0,0,0,0,0,28,0
1539653445366,0,0,0,0,0,0,0,0,0,0,28,0
1539571648063,0,0,0,0,0,0,0,0,0,0,26,0
1538073252097,0,0,0,0,0,0,0,0,0,0,28,0
1537772711588,0,0,0,0,0,0,0,0,0,0,28,0
1539648219426,0,0,0,0,0,0,0,0,0,0,28,0
1538580431142,0,0,0,0,0,0,0,0,0,0,26,0
1539699528591,0,0,0,0,0,0,0,0,0,0,28,0
1538975495754,0,0,0,0,0,0,0,0,0,0,26,0
1539198924824,0,0,0,0,0,0,0,0,0,0,28,0
1538066944036,0,0,0,0,0,0,0,0,0,0,28,0
1538770198627,0,0,0,0,0,0,0,0,0,0,26,0
1538863354347,0,0,0,0,0,0,0,0,0,0,28,0
1539693642830,0,0,0,0,0,0,0,0,0,0,26,0
1539998418654,0,0,0,0,0,0,0,0,0,0,22,0
1539622690539,0,0,0,0,0,0,0,0,0,0,28,0
1539901644549,0,0,0,0,0,0,0,0,0,0,28,0
1537839440163,0,0,0,0,0,0,0,0,0,0,26,0
1539915221399,0,0,0,0,0,0,0,0,0,0,28,0
1538074453654,0,0,0,0,0,0,0,0,0,0,28,0
1539681444329,0,0,0,0,0,0,0,0,0,0,28,0
1539505524885,0,0,0,0,0,0,0,0,0,0,26,0
1540411102062,0,0,0,0,0,0,0,0,0,0,28,0
1539726791420,0,0,0,0,0,0,0,0,0,0,26,0
1539691779680,0,0,0,0,0,0,0,0,0,0,28,0
1538493646847,0,0,0,0,0,0,0,0,0,0,28,0
1538384773342,0,0,0,0,0,0,0,0,0,0,22,0
1539804460562,0,0,0,0,0,0,0,0,0,0,28,0
1539388980213,0,0,0,0,0,0,0,0,0,0,28,0
1537982901162,0,0,0,0,0,0,0,0,0,0,28,0
1539662878074,0,0,0,0,0,0,0,0,0,0,28,0
1538922651406,0,0,0,0,0,0,0,0,0,0,28,0
1538476886146,0,0,0,0,0,0,0,0,0,0,28,0
1540314329263,0,0,0,0,0,0,0,0,0,0,26,0
1539372827197,0,0,0,0,0,0,0,0,0,0,28,0
1539037290640,0,0,0,0,0,0,0,0,0,0,30,0
1537894474607,0,0,0,0,0,0,0,0,0,0,28,0
1539507206325,0,0,0,0,0,0,0,0,0,0,26,0
1539221520249,0,0,0,0,0,0,0,0,0,0,28,0
1539286800114,0,0,0,0,0,0,0,0,0,0,28,0
1538456102904,0,0,0,0,0,0,0,0,0,0,28,0
1540010547997,0,0,0,0,0,0,0,0,0,0,22,0
1539185167463,0,0,0,0,0,0,0,0,0,0,26,0
1538540373555,0,0,0,0,0,0,0,0,0,0,26,0
1540338229679,0,0,0,0,0,0,0,0,0,0,28,0
1540340811901,0,0,0,0,0,0,0,0,0,0,28,0
1538382132045,0,0,0,0,0,0,0,0,0,0,22,0
1539556395971,0,0,0,0,0,0,0,0,0,0,28,0
1538527403556,0,0,0,0,0,0,0,0,0,0,28,0
1537765625990,0,0,0,0,0,0,0,0,0,0,26,0
1538433343243,0,0,0,0,0,0,0,0,0,0,22,0
1539691539328,0,0,0,0,0,0,0,0,0,0,28,0
1539968698811,0,0,0,0,0,0,0,0,0,0,22,0
1539871073437,0,0,0,0,0,0,0,0,0,0,28,0
1540231368095,0,0,0,0,0,0,0,0,0,0,28,0
1539033867393,0,0,0,0,0,0,0,0,0,0,30,0
1539349403695,0,0,0,0,0,0,0,0,0,0,26,0
1539348742613,0,0,0,0,0,0,0,0,0,0,28,0
1539783972210,0,0,0,0,0,0,0,0,0,0,28,0
1538880660091,0,0,0,0,0,0,0,0,0,0,26,0
1540456455077,0,0,0,0,0,0,0,0,0,0,26,0
1537948413765,0,0,0,0,0,0,0,0,0,0,28,0
1538079800698,0,0,0,0,0,0,0,0,0,0,28,0
1537974188028,0,0,0,0,0,0,0,0,0,0,26,0
1537766346585,0,0,0,0,0,0,0,0,0,0,26,0
1539290584088,0,0,0,0,0,0,0,0,0,0,28,0
